                   201   NumCoords   ! The number of coordinates in the airfoil shape file (including an extra coordinate for airfoil reference).  Set to zero if coordinates not included.
! ......... x-y coordinates are next if NumCoords > 0 .............
! x-y coordinate of airfoil reference
!  x/c        y/c
 0.327170       0
! coordinates of airfoil shape
! interpolation to 200 points
!  x/c        y/c
 4.94114003666149e-04 -7.52437252754755e-03
 4.04243208313915e-04 -6.12671997217127e-03
 3.20078618824114e-04 -4.78935355172739e-03
 2.37378191385024e-04 -3.51065942790276e-03
 1.58717295669180e-04 -2.28790364498348e-03
 8.08817679270999e-05 -1.11871986275386e-03
 0.00000000000000e+00  0.00000000000000e+00
 8.02300578035909e-05  1.11318686129589e-03
 1.61789787527304e-04  2.28745352905325e-03
 2.45738188469824e-04  3.51352871642780e-03
 3.34684638653118e-04  4.79431251773232e-03
 4.26268517436988e-04  6.13259470163062e-03
 5.27786687357226e-04  7.53011946562169e-03
 6.49331252343521e-04  8.98856367272977e-03
 7.96438416478770e-04  1.05110332305184e-02
 9.74623260149841e-04  1.20982582873686e-02
 1.19902968485932e-03  1.37516672173662e-02
 1.46751187613984e-03  1.54728141030624e-02
 1.78280528953155e-03  1.72646964645161e-02
 2.15493913619080e-03  1.91260396562272e-02
 2.57488573557895e-03  2.10619528562568e-02
 3.00176455694346e-03  2.30773866844538e-02
 3.46503370698209e-03  2.51699814973175e-02
 3.99141670174821e-03  2.73444845107615e-02
 4.58954610920322e-03  2.96008574137163e-02
 5.25706501900048e-03  3.19434463118161e-02
 6.00680440063935e-03  3.43719281707833e-02
 6.86731351406521e-03  3.68833673772803e-02
 7.83952540030910e-03  3.94772121237046e-02
 8.93656977334177e-03  4.21547446030564e-02
 1.01581030300134e-02  4.49159146125021e-02
 1.15208776224492e-02  4.77569382825839e-02
 1.30361092487873e-02  5.06753000821938e-02
 1.46790259360447e-02  5.36836192329131e-02
 1.64613267123151e-02  5.67788909849035e-02
 1.84016887699798e-02  5.99563752950903e-02
 2.05019629381113e-02  6.32175678145896e-02
 2.27736631409827e-02  6.65600921927254e-02
 2.52329647946805e-02  6.99782180953298e-02
 2.78972652017034e-02  7.34666566260023e-02
 3.07749985799202e-02  7.70208963669541e-02
 3.38740726493588e-02  8.06382612655054e-02
 3.72078296541666e-02  8.43129374084914e-02
 4.07931072929663e-02  8.80358216592483e-02
 4.46344376989053e-02  9.18027956659042e-02
 4.87444905166007e-02  9.56048463427399e-02
 5.31348986215864e-02  9.94340522411055e-02
 5.78209767736564e-02  1.03278380885460e-01
 6.28152878677760e-02  1.07126999140168e-01
 6.81278973849514e-02  1.10970239539185e-01
 7.37676094858319e-02  1.14797179830309e-01
 7.97535672018000e-02  1.18583501794698e-01
 8.60949089385939e-02  1.22319594761652e-01
 9.27984201292216e-02  1.25992939245085e-01
 9.98730323659862e-02  1.29587871296922e-01
 1.07329602319840e-01  1.33084872542455e-01
 1.15175709479971e-01  1.36468598115694e-01
 1.23416743389377e-01  1.39724916355648e-01
 1.32057975417279e-01  1.42842369845462e-01
 1.41107443090012e-01  1.45798849879093e-01
 1.50567077401621e-01  1.48583444443804e-01
 1.60446301316751e-01  1.51167848913503e-01
 1.70746632688638e-01  1.53536405186778e-01
 1.81470679488521e-01  1.55670336486934e-01
 1.92618990936720e-01  1.57561600232499e-01
 2.04193062699452e-01  1.59190082352064e-01
 2.16191730636477e-01  1.60546371785078e-01
 2.28613102238125e-01  1.61628911287795e-01
 2.41455151355179e-01  1.62438373603598e-01
 2.54718192552972e-01  1.62965238500595e-01
 2.68400710383590e-01  1.63180473014619e-01
 2.82500976950143e-01  1.63128462253496e-01
 2.97017352864512e-01  1.62782562281497e-01
 3.11947221056669e-01  1.62123368148233e-01
 3.27289544694955e-01  1.61170953182608e-01
 3.43040942009281e-01  1.59924786344540e-01
 3.59198578295155e-01  1.58375646778252e-01
 3.75759667906985e-01  1.56531850453378e-01
 3.92720795877316e-01  1.54393843039250e-01
 4.10075567638856e-01  1.51951184013973e-01
 4.27821640557734e-01  1.49223312204757e-01
 4.45953549761914e-01  1.46212054348534e-01
 4.64466440064568e-01  1.42923205596711e-01
 4.83352031522152e-01  1.39356884634291e-01
 5.02606034543057e-01  1.35529659223819e-01
 5.22221790976806e-01  1.31454256869762e-01
 5.42195490752111e-01  1.27154888080272e-01
 5.62516618687072e-01  1.22634493390027e-01
 5.83247064041180e-01  1.17892182382177e-01
 6.04349566796037e-01  1.12952057964253e-01
 6.25772938798888e-01  1.07815201364791e-01
 6.47505359997049e-01  1.02498655159553e-01
 6.69534293006784e-01  9.70101231906538e-02
 6.91844215200047e-01  9.13598199850907e-02
 7.14420553005994e-01  8.55609680690167e-02
 7.37246975701947e-01  7.96224612536172e-02
 7.60309805490161e-01  7.35722012264759e-02
 7.83592329065506e-01  6.74265325349281e-02
 8.07078405405328e-01  6.12071192529804e-02
 8.30747292706964e-01  5.49209609465998e-02
 8.54585015406208e-01  4.86072483416589e-02
 8.78575955885491e-01  4.22969699404175e-02
 9.02697524399587e-01  3.59992705394394e-02
 9.26938528244947e-01  2.97742851503034e-02
 9.51270094872881e-01  2.35825837835073e-02
 9.75639286387636e-01  1.74193423533928e-02
 1.00000000000000e+00  1.13075181073801e-02
